"shortnam","baseco","logpgp95","avexpr","logem4","asia","africa","lat_abst","meantemp","humid","malfal94","f_brit","f_french"
"CAN",1,9.98644924163818,9.72727298736572,2.77881932258606,0,0,0.666666686534882,-0.200000002980232,70.5,0,1,0
"CHE",NA,10.120210647583,10,NA,0,0,0.522222220897675,NA,74.75,0,0,0
"CHL",1,9.33609199523926,7.81818199157715,4.23265600204468,0,0,0.333333343267441,13.3999996185303,66.25,0,0,0
"CHN",NA,7.88608121871948,7.77272748947144,4.77068471908569,1,0,0.388888895511627,NA,60,0.0137999998405576,0,0
"CIV",1,7.44424867630005,7,6.50428819656372,0,1,0.0888888910412788,26.0907001495361,85.5,0.949999988079071,0,1
"CMR",1,7.50108194351196,6.45454549789429,5.63478946685791,0,1,0.0666666701436043,24.4333305358887,83,0.949999988079071,0,0
"COG",1,7.420578956604,4.68181800842285,5.48063898086548,0,1,0.0111111113801599,24.7515106201172,72.75,0.949999988079071,0,1
"COL",1,8.80986309051514,7.31818199157715,4.26268005371094,0,0,0.0444444455206394,22.5,71.25,0.146370008587837,0,0
"COM",NA,7.38398933410645,NA,NA,0,1,0.134444445371628,NA,76.25,0.949999988079071,0,1
"CPV",NA,7.97933912277222,NA,NA,0,1,0.177777782082558,NA,64.75,0,0,0
"CRI",1,8.79482460021973,7.04545450210571,4.35799026489258,0,0,0.111111111938953,25.1000003814697,76.25,0,0,0
"CZE",NA,9.20432186126709,8.8636360168457,NA,0,0,0.549444437026978,NA,71,0,0,0
"DEU",NA,9.93547058105469,NA,NA,0,0,0.566666662693024,NA,75,0,0,0
"DJI",NA,NA,NA,3.25809645652771,0,1,0.12555555999279,NA,64.5,0.949999988079071,0,1
"DNK",NA,10.0055923461914,9.72727298736572,NA,0,0,0.622222244739532,NA,76.25,0,0,0
"DOM",1,8.36404228210449,6.18181800842285,4.86753463745117,0,0,0.21111111342907,25.6000003814697,76,0,0,1
"DZA",1,8.38935947418213,6.5,4.35926961898804,0,1,0.311111122369766,19.2999992370605,66.25,0,0,1
"ECU",1,8.47010135650635,6.54545450210571,4.26268005371094,0,0,0.0222222227603197,19.1000003814697,68.5,0.118949994444847,0,0
"EGY",1,7.95155954360962,6.77272748947144,4.21656227111816,0,1,0.300000011920929,22.6000003814697,44.75,0,1,0
"ERI",NA,6.62007331848145,NA,NA,0,1,0.16666667163372,NA,64.25,0.731499969959259,0,0
"ESP",NA,9.61846828460693,9.68181800842285,NA,0,0,0.444444447755814,NA,62,0,0,0
"EST",NA,8.39389514923096,NA,NA,0,0,0.655555546283722,NA,77,0,0,0
"ETH",1,6.10924768447876,5.72727251052856,3.25809645652771,0,1,0.0888888910412788,NA,62,0.550999999046326,0,0
"FIN",NA,9.82606601715088,9.72727298736572,NA,0,0,0.711111128330231,NA,77,0,0,0
"FJI",NA,8.30152130126953,NA,2.43361330032349,0,0,0.200000002980232,NA,77.5,NA,1,0
"FRA",NA,9.96364116668701,9.72727298736572,1.05779027938843,0,0,0.51111114025116,NA,77.25,0,0,0
"GAB",1,8.90788269042969,7.81818199157715,5.63478946685791,0,1,0.0111111113801599,24.5,82,0.940500020980835,0,1
"GBR",NA,9.87817001342773,9.77272701263428,0.936093330383301,0,0,0.600000023841858,NA,73.5,0,0,0
"GEO",NA,7.37148952484131,NA,NA,1,0,0.466666668653488,NA,60.5,0,0,0
"GHA",1,7.36518001556396,6.27272748947144,6.50428819656372,0,1,0.0888888910412788,26.3575801849365,82.5,0.949999988079071,1,0
"GIN",1,7.48997068405151,6.54545450210571,6.18001651763916,0,1,0.122222222387791,24.4388904571533,81.75,0.949999988079071,0,1
"GMB",1,7.27239847183228,8.27272701263428,7.29301786422729,0,1,0.147555559873581,25.6659603118896,66.25,0.949999988079071,1,0
"GNB",NA,NA,4.54545450210571,5.10388278961182,0,1,0.133333340287209,NA,69,0.949999988079071,0,0
"GRC",NA,9.39764976501465,7.81818199157715,NA,0,0,0.433333337306976,NA,55.5,0,0,0
"GTM",1,8.29404926300049,5.13636350631714,4.26268005371094,0,0,0.170000001788139,21.7000007629395,74,0.00360000017099082,0,0
"GUY",1,7.90470409393311,5.88636350631714,3.47134518623352,0,0,0.0555555559694767,NA,80.5,0.495030015707016,1,0
"HKG",1,10.049750328064,8.1363639831543,2.70136117935181,1,0,0.246111109852791,22.6000003814697,74.5,0,1,0
"HND",1,7.68708038330078,5.31818199157715,4.35799026489258,0,0,0.16666667163372,25.3999996185303,70.75,0.0120000001043081,0,0
"HRV",NA,8.41847705841064,NA,NA,0,0,0.501111090183258,NA,69.5,0,0,0
"HTI",1,7.14677238464355,3.72727274894714,4.86753463745117,0,0,0.21111111342907,26.5803298950195,61.5,1,0,1
"HUN",NA,8.80986309051514,9,NA,0,0,0.522222220897675,NA,71.75,0,0,0
"IDN",1,8.0709056854248,7.59090900421143,5.13579845428467,1,0,0.0555999986827374,26.7999992370605,80.25,0.178729996085167,0,0
"IND",1,7.32600021362305,8.27272701263428,3.88424062728882,1,0,0.222200006246567,25.8999996185303,49.5,0.235960006713867,1,0
"IRL",NA,9.76938438415527,9.72727298736572,NA,0,0,0.588888883590698,NA,81.5,0,1,0
"IRN",NA,8.60520362854004,4.77272748947144,NA,1,0,0.355555564165115,NA,59.5,0.118999995291233,0,0
"IRQ",NA,NA,1.63636362552643,NA,1,0,0.366666674613953,NA,45,0.00727999955415726,1,0
"ISL",NA,9.94366931915283,9.72727298736572,NA,0,0,0.722222208976746,NA,76.25,0,0,0
"ISR",NA,9.78414058685303,8.54545497894287,NA,1,0,0.347777783870697,NA,55.5,0,1,0
"ITA",NA,9.89797210693359,9.45454502105713,NA,0,0,0.472222208976746,NA,67.25,0,0,0
